OriginalName,DatabaseName,Participant,SessionID,Timestamp,VideoTime,Value
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101596976,0,0
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101598246,1256,1
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101598362,1372,2
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101598546,1556,3
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101598813,1824,4
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101599063,2073,5
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101599212,2222,6
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101599446,2457,7
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101599929,2940,8
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101600029,3040,9
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101600197,3208,10
Green video (pNRpAtLg40s&amp;ab_channel) - 60,F9ABCA6C-B741-FAF6-01EB-D51079A94D7B_1,170FE9CD-7D74-2063-7334-E800F4C8B242,C62AEF24-AD0E-E0F2-CCB1-3E600B83C48B,1680101600314,3325,11
